projectId,region,projectManager,impact_category,process_name,score
P-NE-001,Northeast,John Doe,BR Insurance,bidresults,5.35
P-NE-001,Northeast,John Doe,BR Insurance,bidreview,23.56
P-NE-001,Northeast,John Doe,BR Insurance,compliance,10.53
P-NE-001,Northeast,John Doe,BR Insurance,estimating,20.55
P-NE-001,Northeast,John Doe,CA Insurance,bidresults,4.0
P-NE-001,Northeast,John Doe,CA Insurance,bidreview,30.67
P-NE-001,Northeast,John Doe,CA Insurance,compliance,3.88
P-NE-001,Northeast,John Doe,CA Insurance,estimating,11.43
P-NE-001,Northeast,John Doe,Cost,bidresults,3.87
P-NE-001,Northeast,John Doe,Cost,bidreview,25.3
P-NE-001,Northeast,John Doe,Cost,compliance,30.44
P-NE-001,Northeast,John Doe,Cost,estimating,23.33
P-NE-001,Northeast,John Doe,GL Insurance,bidresults,20.62
P-NE-001,Northeast,John Doe,GL Insurance,bidreview,1.96
P-NE-001,Northeast,John Doe,GL Insurance,compliance,24.4
P-NE-001,Northeast,John Doe,GL Insurance,estimating,8.16
P-NE-001,Northeast,John Doe,Safety,bidresults,13.13
P-NE-001,Northeast,John Doe,Safety,bidreview,11.13
P-NE-001,Northeast,John Doe,Safety,compliance,6.25
P-NE-001,Northeast,John Doe,Safety,estimating,1.72
P-NE-001,Northeast,John Doe,Schedule,bidresults,7.03
P-NE-001,Northeast,John Doe,Schedule,bidreview,18.26
P-NE-001,Northeast,John Doe,Schedule,compliance,8.43
P-NE-001,Northeast,John Doe,Schedule,estimating,1.68
P-NE-001,Northeast,John Doe,WC Insurance,bidresults,1.19
P-NE-001,Northeast,John Doe,WC Insurance,bidreview,7.61
P-NE-001,Northeast,John Doe,WC Insurance,compliance,25.28
P-NE-001,Northeast,John Doe,WC Insurance,estimating,18.68
P-SE-002,Southeast,Jane Smith,BR Insurance,bidresults,6.03
P-SE-002,Southeast,Jane Smith,BR Insurance,bidreview,16.26
P-SE-002,Southeast,Jane Smith,BR Insurance,compliance,9.88
P-SE-002,Southeast,Jane Smith,BR Insurance,estimating,9.76
P-SE-002,Southeast,Jane Smith,CA Insurance,bidresults,17.45
P-SE-002,Southeast,Jane Smith,CA Insurance,bidreview,8.21
P-SE-002,Southeast,Jane Smith,CA Insurance,compliance,18.5
P-SE-002,Southeast,Jane Smith,CA Insurance,estimating,26.29
P-SE-002,Southeast,Jane Smith,Cost,bidresults,17.01
P-SE-002,Southeast,Jane Smith,Cost,bidreview,16.55
P-SE-002,Southeast,Jane Smith,Cost,compliance,11.98
P-SE-002,Southeast,Jane Smith,Cost,estimating,29.22
P-SE-002,Southeast,Jane Smith,GL Insurance,bidresults,10.26
P-SE-002,Southeast,Jane Smith,GL Insurance,bidreview,23.55
P-SE-002,Southeast,Jane Smith,GL Insurance,compliance,8.29
P-SE-002,Southeast,Jane Smith,GL Insurance,estimating,2.47
P-SE-002,Southeast,Jane Smith,Safety,bidresults,13.12
P-SE-002,Southeast,Jane Smith,Safety,bidreview,18.42
P-SE-002,Southeast,Jane Smith,Safety,compliance,19.1
P-SE-002,Southeast,Jane Smith,Safety,estimating,13.99
P-SE-002,Southeast,Jane Smith,Schedule,bidresults,17.78
P-SE-002,Southeast,Jane Smith,Schedule,bidreview,20.49
P-SE-002,Southeast,Jane Smith,Schedule,compliance,19.56
P-SE-002,Southeast,Jane Smith,Schedule,estimating,14.89
P-SE-002,Southeast,Jane Smith,WC Insurance,bidresults,8.23
P-SE-002,Southeast,Jane Smith,WC Insurance,bidreview,3.07
P-SE-002,Southeast,Jane Smith,WC Insurance,compliance,3.63
P-SE-002,Southeast,Jane Smith,WC Insurance,estimating,7.05
P-MW-003,Midwest,Mike Johnson,BR Insurance,bidresults,8.65
P-MW-003,Midwest,Mike Johnson,BR Insurance,bidreview,29.35
P-MW-003,Midwest,Mike Johnson,BR Insurance,compliance,9.21
P-MW-003,Midwest,Mike Johnson,BR Insurance,estimating,15.22
P-MW-003,Midwest,Mike Johnson,CA Insurance,bidresults,31.53
P-MW-003,Midwest,Mike Johnson,CA Insurance,bidreview,20.09
P-MW-003,Midwest,Mike Johnson,CA Insurance,compliance,20.88
P-MW-003,Midwest,Mike Johnson,CA Insurance,estimating,9.93
P-MW-003,Midwest,Mike Johnson,Cost,bidresults,25.65
P-MW-003,Midwest,Mike Johnson,Cost,bidreview,36.62
P-MW-003,Midwest,Mike Johnson,Cost,compliance,21.05
P-MW-003,Midwest,Mike Johnson,Cost,estimating,24.04
P-MW-003,Midwest,Mike Johnson,GL Insurance,bidresults,37.77
P-MW-003,Midwest,Mike Johnson,GL Insurance,bidreview,13.3
P-MW-003,Midwest,Mike Johnson,GL Insurance,compliance,9.23
P-MW-003,Midwest,Mike Johnson,GL Insurance,estimating,11.44
P-MW-003,Midwest,Mike Johnson,Safety,bidresults,1.9
P-MW-003,Midwest,Mike Johnson,Safety,bidreview,24.6
P-MW-003,Midwest,Mike Johnson,Safety,compliance,7.41
P-MW-003,Midwest,Mike Johnson,Safety,estimating,22.73
P-MW-003,Midwest,Mike Johnson,Schedule,bidresults,12.38
P-MW-003,Midwest,Mike Johnson,Schedule,bidreview,6.13
P-MW-003,Midwest,Mike Johnson,Schedule,compliance,5.9
P-MW-003,Midwest,Mike Johnson,Schedule,estimating,22.87
