projectId,region,projectManager,impact_category,process_name,score
P-NE-001,Northeast,John Doe,BR Insurance,clientHandover,6.91
P-NE-001,Northeast,John Doe,BR Insurance,finalDocumentation,31.62
P-NE-001,Northeast,John Doe,BR Insurance,financialReconciliation,13.93
P-NE-001,Northeast,John Doe,BR Insurance,punchlistCompletion,27.53
P-NE-001,Northeast,John Doe,CA Insurance,clientHandover,5.87
P-NE-001,Northeast,John Doe,CA Insurance,finalDocumentation,40.29
P-NE-001,Northeast,John Doe,CA Insurance,financialReconciliation,5.71
P-NE-001,Northeast,John Doe,CA Insurance,punchlistCompletion,15.46
P-NE-001,Northeast,John Doe,Cost,clientHandover,7.48
P-NE-001,Northeast,John Doe,Cost,finalDocumentation,33.46
P-NE-001,Northeast,John Doe,Cost,financialReconciliation,39.69
P-NE-001,Northeast,John Doe,Cost,punchlistCompletion,31.07
P-NE-001,Northeast,John Doe,GL Insurance,clientHandover,28.8
P-NE-001,Northeast,John Doe,GL Insurance,finalDocumentation,8.06
P-NE-001,Northeast,John Doe,GL Insurance,financialReconciliation,33.0
P-NE-001,Northeast,John Doe,GL Insurance,punchlistCompletion,14.95
P-NE-001,Northeast,John Doe,Safety,clientHandover,18.18
P-NE-001,Northeast,John Doe,Safety,finalDocumentation,15.35
P-NE-001,Northeast,John Doe,Safety,financialReconciliation,8.43
P-NE-001,Northeast,John Doe,Safety,punchlistCompletion,2.01
P-NE-001,Northeast,John Doe,Schedule,clientHandover,9.26
P-NE-001,Northeast,John Doe,Schedule,finalDocumentation,24.66
P-NE-001,Northeast,John Doe,Schedule,financialReconciliation,11.18
P-NE-001,Northeast,John Doe,Schedule,punchlistCompletion,1.93
P-NE-001,Northeast,John Doe,WC Insurance,clientHandover,1.26
P-NE-001,Northeast,John Doe,WC Insurance,finalDocumentation,9.82
P-NE-001,Northeast,John Doe,WC Insurance,financialReconciliation,33.38
P-NE-001,Northeast,John Doe,WC Insurance,punchlistCompletion,24.57
P-SE-002,Southeast,Jane Smith,BR Insurance,clientHandover,8.12
P-SE-002,Southeast,Jane Smith,BR Insurance,finalDocumentation,22.61
P-SE-002,Southeast,Jane Smith,BR Insurance,financialReconciliation,13.59
P-SE-002,Southeast,Jane Smith,BR Insurance,punchlistCompletion,13.4
P-SE-002,Southeast,Jane Smith,CA Insurance,clientHandover,23.54
P-SE-002,Southeast,Jane Smith,CA Insurance,finalDocumentation,10.88
P-SE-002,Southeast,Jane Smith,CA Insurance,financialReconciliation,24.98
P-SE-002,Southeast,Jane Smith,CA Insurance,punchlistCompletion,35.66
P-SE-002,Southeast,Jane Smith,Cost,clientHandover,22.53
P-SE-002,Southeast,Jane Smith,Cost,finalDocumentation,21.91
P-SE-002,Southeast,Jane Smith,Cost,financialReconciliation,15.76
P-SE-002,Southeast,Jane Smith,Cost,punchlistCompletion,38.95
P-SE-002,Southeast,Jane Smith,GL Insurance,clientHandover,14.58
P-SE-002,Southeast,Jane Smith,GL Insurance,finalDocumentation,31.18
P-SE-002,Southeast,Jane Smith,GL Insurance,financialReconciliation,12.12
P-SE-002,Southeast,Jane Smith,GL Insurance,punchlistCompletion,4.83
P-SE-002,Southeast,Jane Smith,Safety,clientHandover,18.9
P-SE-002,Southeast,Jane Smith,Safety,finalDocumentation,26.71
P-SE-002,Southeast,Jane Smith,Safety,financialReconciliation,27.71
P-SE-002,Southeast,Jane Smith,Safety,punchlistCompletion,20.17
P-SE-002,Southeast,Jane Smith,Schedule,clientHandover,25.08
P-SE-002,Southeast,Jane Smith,Schedule,finalDocumentation,28.97
P-SE-002,Southeast,Jane Smith,Schedule,financialReconciliation,27.64
P-SE-002,Southeast,Jane Smith,Schedule,punchlistCompletion,20.92
